gene,presenca
flgB,0
flgC,0
fliE,0
fliF,0
fliG,0
fliH,0
fliI,0
fliJ,0
fliK,1
flgD,0
flgG,0
fliM,0
fliY,0
cheY,0
fliP,0
fliQ,0
fliR,0
flhB,0
flhA,0
cheB,0
cheA,0
cheW,0
cheC,0
cheD,0
hfq,0
desK,0
desR,0
msrA,0
metA,0
trpE,0
cheR,0
resE,0
resD,0
ribD,0
yidC,0
artR,0
artQ,0
artP,0
spo0A,0
accC,0
accB,0
pstB,0
pstB,0
pstA,0
pstC,0
pstS,0
rapE,1
phrE,1
mccB,0
secDF,0
yajC,0
spo0B,0
leuA,0
araQ,0
araP,0
araN,0
lrgB,0
lrgA,0
lytT,0
lytS,0
phoR,0
mdh,0
pyk,0
accA,0
accD,0
nrnA,0
tcyN,0
tcyM,0
tcyL,0
tcyK,0
tcyJ,0
ackA,0
motB,0
cysK,0
msmE,0
msmF,0
msmG,0
bceB,1
bceA,0
bceS,0
bceR,0
ytrF,0
ytrE,0
ytrD,0
ytrB,0
pckA,0
luxS,0
mcpA,0
mcpB,0
kinB,0
kapB,0
maeN,0
comA,0
comP,1
comX,1
comQ,1
metQ,0
metN,0
cssR,0
cssS,0
fumC,0
liaR,0
liaS,0
liaF,0
liaG,0
liaH,0
liaI,0
modA,0
modB,0
cysI,0
cysJ,0
secG,0
opuBD,0
ganQ,0
ganP,0
rpoN,0
sacB,0
ftsX,0
ftsE,0
secA,0
fliT,0
fliS,0
fliD,0
csrA,0
flgL,0
flgK,0
flgM,0
degU,0
degS,0
tagH,0
tagG,0
rbsD,0
rbsC,0
rbsB,0
rapB,0
spo0F,0
narI,0
narJ,0
narH,0
narG,0
rapF,1
pta,0
dltA,0
dltB,0
dltC,0
dltD,0
cydC,0
cydD,0
cydB,0
cydA,0
msmX,0
katE,0
nupC,0
yxeO,0
yxeN,0
yxeM,0
yxdM,0
yxdL,0
yxdK,0
yxdJ,0
rapG,0
phrG,0
fliOZ,0
sucB,0
sfcA,0
proX,0
acs,0
proV,0
peb1A,0
desA,0
atoD,0
yydJ,0
proW,0
ldh,0
troA,0
aceF,0
gloA,0
vanY,0
degP,0
yvgN,0
yufL,0
glnB,0
cypD_E,0
gloB,0
abcA,0
vicK,0
fecB,0
phoB1,0
fliC,0
fecE,0
vicR,0
ecfA1,0
ecfA2,0
atoB,0
dppB1,0
troB,0
troD,0
troC,0
citS,0
opuBD,0
ghrB,0
pel,0
fliA,0
fadD,0
lpd,0
opuC,0
cycB,0
yydI,0
fecC,0
msbA,0
mcp,0
mdlB,0
gltA,0
dctA,0
opuA,0
malR,0
srfATE,0
accB,0
accC,0
cysH,0
phoA,0
sigH,1
sigG,0
sigE,0
sigF,1
sigK,0
Spo0A,0
Spo0F,1
Spo0M,1
Spo0B,1
spoIIAB,1
spoIIAA,1
spoIIM,1
spoIIGA,1
spoIIE,1
spoIIP,1
spoIIP,1
spoIIR,1
spoIID,1
spoIIQ,1
spoIIID,0
spoIIIAH,1
spoIIIAG,1
spoIIIAF,1
spoIIIAE,1
spoIIIAC,1
spoIIIAB,1
spoIIIAA,1
spoIVA,0
spoIVB,1
spoIVFB,1
spoIVFA,1
spoVB,1
spoVD,1
spoVAF,1
spoVAE,1
spoVAE,1
spoVAD,1
spoVAC,1
spoVAB,1
spoVAA,1
spoVK,1
spoVS,0
spoVM,0
spoVB,1
spoVG,0
spoVT,1
spoVS,1
spoVAE,1
spoVAD,1
spoVAC,1
spoVR,1
cotJA,1
cotJB,1
cotJC,0
cotE,1
cotB,1
cotX,1
cotX,1
cotF,1
cotF,1
cotF,1
cotH,1
sspK,1
sspH,1
sspF,1
sspN,1
sspO,1
sspP,1
sspI,1
gerQ,1
gerKA,1
gerPF,1
gerPF,1
gerPA,1
gerPB,1
gerPC,1
gerPD,1
gerPE,1
gerD,1
gerM,1
gerE,0
yndE,1
yndF,1
yndE,1
yndD,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
cheA,1
cheV,1
cheR,1
cheR,1
cheY,1
cheA,1
motA,1
motB,1
motA,1
motB,1
fliD,1
fliE,1
fliF,1
fliG,1
fliI,1
fliM,1
fliNY,1
fliP,1
fliQ,1
fliR,1
fliS,1
fliN,1
fliK,1
fliH,1
fliNY,1
fliF,1
fliD,1
flhA,1
flhB,1
flhF,1
flgL,1
flgC,1
flgE,1
flgK,1
flgL,1
flgD,1
luxS,0
ahlD,1
pilA,1
fimV,1
fimV,1
fliC,1
fliC,1
lbs,1
lbs,1
pgsA,1
pgsA,1
alsS,1
alsS,1
alsS,1
alsS,1
alsS,1
alsD,1
bdh,1
speE,0
speE,1
potC,1
potA,1
potB,1
pot,1
pot,1
potD,1
moaC,1
moaB,1
moaD,1
moaA,1
moaD,1
moaA,1
moaD,1
moaA,1
modB,1
modA,1
modA,1
moeA,1
moeA,1
moeB,1
moeA,1
fer,0
fldA,1
fldA,1
fix,1
fix,1
fix,1
fix,1
narJ,1
narH,0
narG,1
narI,1
narK,1
narK,1
nirB,1
nirD,1
nirC,1
nos,1
ldh,1
ldh,1
Idh,0
sdhC,1
sdhB,0
sdhA,0
gdh,0
pit,0
pstA,1
pstC,1
pstA,1
pstC,1
pstS,1
pstS,1
pstB,1
phnE,1
phnE,1
phnC,1
phnD,1
alk,1
alk,1
phr,1
phoH,1
fur,0
sid,1
sid,1
fevA,1
fevP,1
fevP,1
fevS,1
fevP,1
fevA,1
fevP,1
fevP,1
fevP,1
fevP,1
fevP,1
fevP,1
fevP,1
fevP,1
fevP,1
fevA,1
fevA,1
fevA,1
afuB,1
afuA,1
afuC,1
afuB,1
afuC,1
afuA,1
afuA,1
feoA,1
feoA,1
feoB,1
feoB,1
fevS,1
fevP,1
fevP,1
fevA,1
RZ2MS9,1
trpF,1
trpC,1
trpD,1
trpG,1
trpE,1
trpA,1
trpB,1
ipdC,1
mao,1
mao,1
patA,1
patA,1
mtnE,1
Ami,1
RZ2MS9,1
