gene,presenca
flgB,0
flgC,0
fliE,1
fliF,1
fliG,0
fliH,1
fliI,0
fliJ,0
fliK,1
flgD,1
flgG,1
fliM,0
fliY,0
cheY,0
fliP,0
fliQ,0
fliR,0
flhB,0
flhA,0
cheB,1
cheA,0
cheW,1
cheC,0
cheD,0
hfq,0
desK,0
desR,0
msrA,0
metA,0
trpE,1
cheR,0
resE,0
resD,0
ribD,1
yidC,1
artR,0
artQ,0
artP,1
spo0A,0
accC,0
accB,0
pstB,0
pstB,0
pstA,0
pstC,0
pstS,0
rapE,1
phrE,1
mccB,0
secDF,0
yajC,0
spo0B,1
leuA,0
araQ,1
araP,1
araN,1
lrgB,0
lrgA,1
lytT,1
lytS,0
phoR,1
mdh,0
pyk,0
accA,0
accD,0
nrnA,0
tcyN,1
tcyM,1
tcyL,1
tcyK,1
tcyJ,1
ackA,0
motB,1
cysK,0
msmE,1
msmF,1
msmG,1
bceB,1
bceA,0
bceS,1
bceR,0
ytrF,1
ytrE,0
ytrD,1
ytrB,0
pckA,0
luxS,0
mcpA,1
mcpB,1
kinB,1
kapB,1
maeN,0
comA,0
comP,1
comX,1
comQ,1
metQ,0
metN,0
cssR,0
cssS,1
fumC,0
liaR,0
liaS,1
liaF,1
liaG,1
liaH,1
liaI,1
modA,1
modB,1
cysI,0
cysJ,0
secG,0
opuBD,0
ganQ,1
ganP,1
rpoN,1
sacB,1
ftsX,0
ftsE,0
secA,0
fliT,1
fliS,1
fliD,1
csrA,1
flgL,1
flgK,1
flgM,1
degU,0
degS,0
tagH,1
tagG,1
rbsD,1
rbsC,0
rbsB,0
rapB,1
spo0F,0
narI,1
narJ,1
narH,1
narG,1
rapF,1
pta,0
dltA,1
dltB,0
dltC,0
dltD,1
cydC,1
cydD,1
cydB,1
cydA,0
msmX,0
katE,1
nupC,0
yxeO,0
yxeN,0
yxeM,0
yxdM,1
yxdL,1
yxdK,1
yxdJ,1
rapG,1
phrG,1
fliOZ,1
sucB,0
sfcA,1
proX,1
acs,0
proV,0
peb1A,0
desA,0
atoD,1
yydJ,1
proW,0
ldh,0
troA,1
aceF,1
gloA,1
vanY,1
degP,1
yvgN,0
yufL,0
glnB,0
cypD_E,1
gloB,1
abcA,1
vicK,1
fecB,1
phoB1,0
fliC,0
fecE,1
vicR,0
ecfA1,0
ecfA2,0
atoB,1
dppB1,0
troB,1
troD,1
troC,1
citS,1
opuBD,0
ghrB,1
pel,1
fliA,0
fadD,1
lpd,0
opuC,1
cycB,1
yydI,1
fecC,1
msbA,0
mcp,1
mdlB,1
gltA,0
dctA,0
opuA,0
malR,0
srfATE,1
accB,1
accC,1
cysH,1
phoA,1
sigH,0
sigG,0
sigE,0
sigF,0
sigK,0
Spo0A,0
Spo0F,0
Spo0M,1
Spo0B,1
spoIIAB,0
spoIIAA,0
spoIIM,1
spoIIGA,1
spoIIE,1
spoIIP,1
spoIIP,1
spoIIR,1
spoIID,1
spoIIQ,1
spoIIID,0
spoIIIAH,1
spoIIIAG,1
spoIIIAF,1
spoIIIAE,1
spoIIIAC,1
spoIIIAB,1
spoIIIAA,1
spoIVA,0
spoIVB,1
spoIVFB,1
spoIVFA,1
spoVB,1
spoVD,0
spoVAF,1
spoVAE,1
spoVAE,0
spoVAD,1
spoVAC,0
spoVAB,1
spoVAA,1
spoVK,1
spoVS,0
spoVM,0
spoVB,1
spoVG,0
spoVT,0
spoVS,0
spoVAE,1
spoVAD,1
spoVAC,1
spoVR,0
cotJA,1
cotJB,1
cotJC,1
cotE,1
cotB,1
cotX,1
cotX,1
cotF,1
cotF,1
cotF,1
cotH,1
sspK,1
sspH,1
sspF,1
sspN,1
sspO,1
sspP,1
sspI,1
gerQ,1
gerKA,1
gerPF,1
gerPF,1
gerPA,1
gerPB,1
gerPC,1
gerPD,1
gerPE,1
gerD,1
gerM,1
gerE,0
yndE,1
yndF,1
yndE,1
yndD,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
mcp,1
cheA,1
cheV,1
cheR,1
cheR,1
cheY,1
cheA,1
motA,1
motB,1
motA,1
motB,1
fliD,1
fliE,1
fliF,1
fliG,1
fliI,1
fliM,1
fliNY,1
fliP,1
fliQ,1
fliR,1
fliS,1
fliN,1
fliK,1
fliH,1
fliNY,1
fliF,1
fliD,1
flhA,1
flhB,1
flhF,1
flgL,1
flgC,1
flgE,1
flgK,1
flgL,1
flgD,1
luxS,0
ahlD,1
pilA,1
fimV,1
fimV,1
fliC,1
fliC,1
lbs,1
lbs,1
pgsA,1
pgsA,1
alsS,1
alsS,1
alsS,1
alsS,1
alsS,1
alsD,1
bdh,1
speE,0
speE,1
potC,1
potA,1
potB,1
pot,0
pot,1
potD,1
moaC,0
moaB,1
moaD,1
moaA,1
moaD,1
moaA,1
moaD,1
moaA,1
modB,1
modA,1
modA,1
moeA,1
moeA,1
moeB,1
moeA,1
fer,0
fldA,1
fldA,1
fix,1
fix,1
fix,1
fix,1
narJ,1
narH,1
narG,1
narI,1
narK,1
narK,1
nirB,1
nirD,1
nirC,1
nos,1
ldh,1
ldh,1
Idh,0
sdhC,0
sdhB,0
sdhA,0
gdh,1
pit,0
pstA,1
pstC,1
pstA,1
pstC,1
pstS,1
pstS,1
pstB,1
phnE,1
phnE,1
phnC,1
phnD,1
alk,1
alk,1
phr,1
phoH,1
fur,0
sid,1
sid,1
fevA,1
fevP,1
fevP,1
fevS,1
fevP,1
fevA,0
fevP,1
fevP,1
fevP,1
fevP,1
fevP,1
fevP,1
fevP,1
fevP,1
fevP,1
fevA,1
fevA,1
fevA,1
afuB,1
afuA,1
afuC,1
afuB,1
afuC,1
afuA,1
afuA,1
feoA,1
feoA,1
feoB,1
feoB,1
fevS,1
fevP,1
fevP,1
fevA,1
RZ2MS9,1
trpF,1
trpC,1
trpD,1
trpG,1
trpE,1
trpA,1
trpB,1
ipdC,1
mao,1
mao,1
patA,1
patA,1
mtnE,1
Ami,1
RZ2MS9,1
